id,title_orig,path,reason
6994,1703,P:\сериалы\03 1703,Exists on other drives: ['S:\\фильмы\\1703.S01.2022.WEB-DL.720p']
7038,Aktrisy,Q:\сериалы\08 Aktrisy.S01.2023.WEBRip.1080p,Exists on other drives: ['S:\\фильмы\\Aktrisy.S01.2023.WEBRip.1080p']
7194,An Awful Thing Has Gone and Happened,W:\фильмы\An.Awful.Thing.Has.Gone.and.Happened.1080p.WEB-DL.mkv,"Exists on other drives: ['E:\\фильмы\\130. Ужасная вещь прошла и случилась (An Awful Thing Has Gone and Happened, 2022) 2022.mkv']"
6964,Before Sunset,P:\фильмы\02 Before.Sunset.2004.AVO.Serbin.avi,Exists on other drives: ['S:\\фильмы\\Before.Sunset.2004.AVO.Serbin.avi']
8399,Biheppi,O:\Сериалы\08 Biheppi.2019,Exists on other drives: ['S:\\фильмы\\Biheppi.2019.WEB-DL.(1080p).Getty']
6996,Escape at Dannemora,P:\сериалы\08 Escape.at.Dannemora.2018.S01.1080p.AMZN.WEB-DL.H.264.RUS.LF.DDP5.1,Exists on other drives: ['T:\\сериалы\\02 Escape.at.Dannemora.2018.S01.1080p.AMZN.WEB-DL.H.264.RUS.LF.DDP5.1']
6968,Insomnia,P:\фильмы\Bessonntsa_2002_BDRip_by_Dalemake.avi,"Exists on other drives: ['Z:\\сериалы\\17. Бессонница (Insomnia, 2024) 2024', 'E:\\фильмы\\87. Бессонница (Insomnia, 2002) 2002.mkv']"
6976,Jackie Brown,P:\фильмы\Jackie_Brown-[nnm-club.ru].avi,Exists on other drives: ['E:\\сериалы\\17. Джеки Браун (Jackie Brown) 1997']
6966,La La Land,P:\фильмы\05 La.La.Land.(480p).(pk).m4v,Exists on other drives: ['S:\\фильмы\\La.La.Land.(480p).(pk).m4v']
8390,Match Point,O:\Фильмы\Match Point.avi,Exists on other drives: ['S:\\фильмы\\Match Point.avi']
8391,Mon roi,O:\Фильмы\Mon.roi.2015.BDRip-ylnian.avi,Exists on other drives: ['S:\\фильмы\\Mon.roi.2015.BDRip-ylnian.avi']
8393,Monarch: Legacy of Monsters,O:\Сериалы\01 Monarch,Exists on other drives: ['S:\\сериалы\\03. Монарх Наследие монстров (Monarch Legacy of Monsters) 2023']
7033,Ojingeo Geim,Q:\сериалы\02 Игра в кальмара,Exists on other drives: ['K:\\сериалы\\Squid Game 2 - LostFilm.TV [1080p]']
7041,Restoran po ponyatiyam,Q:\сериалы\12 Restoran.po.ponyatiyam.S02.2022.WEBRip.1080p,Exists on other drives: ['S:\\фильмы\\Restoran.po.ponyatiyam.S02.2022.WEBRip.1080p']
7197,Scrubs,W:\сериалы\03 Клиника (Scrubs),Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8196,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 1 1080 AI,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8206,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 1 1080 AI\Scrubs S01E10 My Nickname.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8207,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 1 1080 AI\Scrubs S01E11 My Own Personal Jesus.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8211,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 1 1080 AI\Scrubs S01E15 My Bed Banter & Beyond.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8212,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 1 1080 AI\Scrubs S01E16 My Heavy Meddle.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
