id,disk_name,path,internal_number,title,title_orig,title_ru,year,main_category,genres,country,directors,cast,status,num_of_seasons,num_episodes_per_season,rating,awards,plot,atmosphere,why_watch,mood,catchphrases,quote,can_stop_at,facts,similar,final_verdict,review,media_type,parent_id,media_size,torrent_id,episode_scan_skipped,plot_granularity,why_watch_tts,plot_tts
303,ДИСК 2,X:\сериалы\The Crown (Season 6) WEB-DL 1080p,,The Crown (Season 6) WEB-DL 1080p,The Crown,Корона,2023,Исторические/Костюмированные,"[""Драма"", ""История"", ""Биография""]","Великобритания, США","[""Стивен Долдри"", ""Филип Мартин"", ""Джулиан Джаррольд""]","[""Имельда Стонтон"", ""Джонатан Прайс"", ""Лесли Мэнвилл"", ""Доминик Уэст"", ""Элизабет Дебики""]",завершён,6.0,,"{""imdb"": 8.6, ""tmdb"": 8.2}","[""Золотой глобус — лучший драматический сериал"", ""Эмми — лучшая актриса в драматическом сериале (Оливия Колман)"", ""BAFTA — лучший драматический сериал""]","Шестой сезон охватывает один из самых драматичных и трагических периодов в новейшей истории британской королевской семьи, фокусируясь на последних неделях жизни принцессы Дианы и её роковом романе с Доди Аль-Файедом. Повествование детально исследует эмоциональные последствия автокатастрофы в Париже для принцев Уильяма и Гарри, а также реакцию королевы Елизаветы II на этот общественный кризис. Параллельно сериал затрагивает начало отношений Уильяма и Кейт Миддлтон во время их обучения в университете Сент-Эндрюс, демонстрируя смену поколений в монархии. Финальные эпизоды подводят черту под многолетним правлением королевы, акцентируя внимание на её размышлениях о долге, жертвах ради короны и неизбежном угасании старого мира перед лицом стремительно меняющейся реальности начала XXI века, навсегда изменившей образ Виндзоров в глазах подданных и всего мира.","Меланхоличная, монументальная и глубоко рефлексивная атмосфера, пропитанная чувством исторической неизбежности и личного одиночества монарших особ.","Сезон представляет собой завершающий аккорд масштабной биографической саги, мастерски сочетающий историческую достоверность с личной драмой ключевых фигур британской политики.","для глубокого погружения в историю, созерцания сложных человеческих судеб и осмысления бремени власти и ответственности.",,"Корона всегда выигрывает. Она всегда побеждает. Это логично, ведь корона — это не что иное, как символ того, что мы должны быть больше, чем просто люди.",4 сезон,"[""Для шестого сезона создатели наняли команду специалистов, чтобы воссоздать культовое 'платье мести' принцессы Дианы в мельчайших деталях."", ""Элизабет Дебики, исполнившая роль Дианы, признавалась, что участие в финальных сценах было эмоционально истощающим из-за тяжести исторических событий."", ""Съемки сезона проходили в нескольких странах, включая Испанию и Южную Африку, которые заменили собой Францию и другие локации."", ""Команда проекта консультировалась с историками, чтобы максимально точно передать атмосферу последних лет жизни королевской семьи в двадцатом веке."", ""После выхода финальных серий сериал получил номинации на главные телевизионные награды за невероятный уровень художественного оформления и костюмов.""]","[""Виктория"", ""Аббатство Даунтон"", ""Версаль"", ""Тюдоры"", ""Спенсер""]","Сериал завершается размышлениями королевы Елизаветы II о своем долге, преемственности и предстоящей передаче власти, подводя итог её многолетнему правлению в меняющемся мире.","{""rating"": ""хороший"", ""liked"": ""Потрясающая актерская работа Элизабет Дебики, безупречные декорации, костюмы и драматическое повествование о трагических событиях королевской семьи."", ""disliked"": ""Некоторые зрители сочли сюжетные линии о призраках излишне мистическими и отходящими от канонического исторического стиля прошлых сезонов.""}",series,,27036298541,,0,,,
471,ДИСК 2,X:\сериалы\The.Perfect.Couple.2024.S01.NF.WEB-DLRip-AVC.x264.seleZen,,The.Perfect.Couple.2024.S01.NF.WEB-DLRip-AVC.x264.seleZen,The Perfect Couple,Идеальная пара,2024,Расследования,"[""Детектив"", ""Драма"", ""Криминал""]",США,"[""Сюзанна Бир""]","[""Николь Кидман"", ""Лив Шрайбер"", ""Ив Хьюсон"", ""Билли Хоул"", ""Меган Фэхи""]",завершён,1.0,,"{""imdb"": 6.7, ""tmdb"": 7.1}",[],"Свадьба в богатом семействе на острове Нантакет обещает стать событием года, пока на берегу океана не обнаруживают тело приглашенной гостьи. Расследование моментально превращает роскошное торжество в настоящий кошмар, где каждый гость становится подозреваемым, а идеальный фасад семьи Уинбери начинает стремительно рушиться под тяжестью скрываемых секретов. Амелия Сакс, невеста, мечтающая просто выйти замуж за любимого человека, внезапно оказывается в центре детективного скандала, который раскрывает грязное белье элиты. Полицейские методично опрашивают участников церемонии, сталкиваясь с ложью, завистью и предательством на каждом шагу. Каждое новое показание добавляет деталей в запутанную мозаику преступления, где под масками великосветских манер скрываются жестокие амбиции и алчность. Постепенно выясняется, что никто из присутствующих на празднике не является тем, кем пытается казаться, а само торжество изначально было лишь прикрытием для куда более опасных и скрытных игр.",Напряженный и визуально безупречный детектив с нотками сатиры на жизнь американских богачей на элитном побережье.,"Захватывающий детективный триллер с великолепным актерским составом, который держит в напряжении до самой финальной развязки каждой серии.","для интригующего вечера, когда хочется почувствовать себя детективом в компании роскошных интерьеров и мрачных тайн.",,"В этой семье все идеальны, пока ты не начнешь копать чуть глубже.",,"[""Сериал основан на одноименном бестселлере Элин Хильдебранд, который возглавлял список самых продаваемых книг по версии The New York Times."", ""Николь Кидман не только исполнила главную роль, но и выступила в качестве одного из исполнительных продюсеров проекта."", ""Съемки проходили на живописном острове Нантакет, что позволило передать специфическую атмосферу элитарного курорта с его закрытыми сообществами."", ""Музыкальная заставка сериала с танцем всех персонажей стала вирусной в социальных сетях сразу после премьеры проекта."", ""Проект представляет собой классический детектив в стиле «закрытой комнаты», где каждый гость свадьбы потенциально является подозреваемым.""]","[""Белый лотос"", ""Большая маленькая ложь"", ""Отыграть назад"", ""Девять совсем незнакомых людей""]","После напряженного расследования выясняется, что убийство совершила Амелия, пытаясь защитить свою семью, что приводит к краху идеального фасада семьи Уинбери.","{""rating"": ""хороший"", ""liked"": ""Зрители высоко оценили звездный актерский состав, саркастичный юмор, интригующий детективный сюжет и роскошную визуальную эстетику летнего побережья."", ""disliked"": ""Некоторым показалось, что динамика повествования периодически проседает, а развитие персонажей выглядит поверхностным на фоне затянутых светских диалогов.""}",series,,3869158506,,0,,,
6251,ДИСК 12,R:\фильмы\Ballada.o.soldate.1959.RUS.BDRip.XviD.AC3.-HQCLUB.avi,,Ballada.o.soldate.1959.RUS.BDRip.XviD.AC3.-HQCLUB,Ballada o soldate,Баллада о солдате,1959,Военные,"[""Военный"", ""Драма"", ""Мелодрама""]",СССР,"[""Григорий Чухрай""]","[""Владимир Ивашов"", ""Жанна Прохоренко"", ""Антонина Максимова"", ""Николай Крючков"", ""Евгений Урбанский""]",,0.0,[],"{""imdb"": 8.2, ""tmdb"": 8.1}","[""Приз Каннского кинофестиваля — специальное упоминание"", ""Номинация на премию Оскар — лучший сценарий""]","История молодого советского солдата Алёши Скворцова, который совершил подвиг на фронте и в качестве награды получил краткосрочный отпуск, чтобы навестить мать в родной деревне. Его путь домой превращается в серию случайных встреч, где каждый попутчик раскрывает новые грани человечности в условиях военного времени. Алёша помогает инвалиду, утешает женщину, переживающую измену мужа, и знакомится с девушкой Шурой, с которой у него возникает робкое и чистое чувство. Время отпуска стремительно тает, вынуждая героя выбирать между личным счастьем и долгом перед страной. Путешествие Алёши становится гимном юности, которая была безжалостно прервана войной, и трагическим напоминанием о цене, которую заплатило целое поколение за право на мирное небо. Фильм мастерски показывает столкновение личных надежд с неизбежной судьбой, оставляя в сердце зрителя глубокий след после финальных кадров.","Трогательная, светлая и пронзительно печальная поэтическая драма, наполненная искренностью, чистотой чувств и горьким дыханием суровой войны.","Картина признана шедевром мирового кинематографа, предлагающим глубоко человечный взгляд на войну, где главное место занимают не сражения, а чувства и надежды молодых людей.","Для моментов, когда хочется прикоснуться к искреннему искусству и поразмышлять о жизни, любви и настоящих человеческих ценностях.",,"Я только на минутку, мама... Я скоро вернусь!",,"[""Фильм завоевал более 100 международных наград, став одним из самых титулованных советских произведений в истории мирового кинематографа."", ""Владимир Ивашов был студентом первого курса театрального училища, когда его утвердили на роль, сделавшую его кумиром целого поколения."", ""Григорий Чухрай долго искал исполнителей главных ролей, стремясь передать естественность и чистоту чувств, далекую от пафоса военных драм."", ""Сценарий фильма был написан в период 'оттепели', что позволило режиссеру сосредоточиться на человечности, а не на идеологическом героизме."", ""Картина поразила западных критиков своей поэтичностью, а Дастин Хоффман называл эту работу одним из своих любимых советских фильмов.""]","[""Летят журавли"", ""Иваново детство"", ""Судьба человека"", ""Живые и мертвые""]","Алеша погибает на фронте, так и не успев полноценно вернуться домой, а его мать навсегда остается ждать сына у дороги, став символом всех матерей, не дождавшихся своих детей с войны.","{""rating"": ""отличный"", ""liked"": ""Поразительная искренность актерской игры, глубокий лиризм сюжета и пронзительная атмосфера, которая заставляет сопереживать каждому герою до самых титров."", ""disliked"": null}",movie,,0,,0,,,
6252,ДИСК 12,R:\фильмы\Leviafan_2014_BDRip_[rutracker.org].avi,,Leviafan_2014_BDRip_[rutracker.org],Leviafan,Левиафан,2014,Расследования,"[""Драма""]",Россия,"[""Андрей Звягинцев""]","[""Алексей Серебряков"", ""Елена Лядова"", ""Владимир Вдовиченков"", ""Роман Мадянов"", ""Анна Уколова""]",,0.0,[],"{""imdb"": 7.6, ""tmdb"": 7.4}","[""Каннский кинофестиваль — лучший сценарий"", ""Золотой глобус — лучший фильм на иностранном языке""]","В небольшом приморском городке на краю Севера Николай живет вместе с супругой Лилией и сыном от первого брака Ромой. Местный мэр-коррупционер Вадим Шелевят хочет отобрать землю, на которой стоит дом и мастерская Николая, чтобы построить церковь и личные владения. Николай обращается за юридической помощью к своему старому другу Дмитрию, успешному столичному адвокату. Тот прибывает в город с собранным досье на мэра, которое призвано остановить произвол властей. Однако прямое столкновение с административной машиной запускает цепную реакцию, где личные амбиции, человеческие слабости и системная несправедливость начинают рушить жизни всех участников конфликта. Мечта о справедливости разбивается о суровую реальность российской провинции, где человек оказывается беззащитен перед властью, а вера используется как инструмент давления и способ окончательного подавления человеческой воли в пространстве беззакония.","Тяжелая, депрессивная и холодная картина, пронизанная безнадежностью, морским туманом, алкоголем и ощущением неминуемого краха человеческой личности.","Фильм представляет собой мощную социальную драму, которая мастерски исследует конфликт маленького человека с коррумпированной государственной системой в декорациях суровой природы.","для вдумчивого просмотра, когда хочется серьезной социальной рефлексии",,"Я — человек? Или я тварь дрожащая, право имею?",,"[""Фильм вдохновлен библейской историей об Иове и реальной историей американского сварщика Марвина Химейера, построившего бронированный бульдозер."", ""Съёмки картины проходили в Мурманской области, в селе Териберка, которое после выхода фильма стало популярным туристическим направлением."", ""Картина стала первым российским фильмом, получившим премию «Золотой глобус» в категории «Лучший фильм на иностранном языке» за более чем 45 лет."", ""На роль главного героя рассматривались многие известные артисты, но режиссёр Андрей Звягинцев настаивал на участии Алексея Серебрякова, который идеально вписался в образ."", ""Остов кита на берегу, ставший важным символом картины, был специально изготовлен декораторами, так как настоящего подходящего объекта найти не удалось.""]","[""Возвращение"", ""Нелюбовь"", ""Дурак"", ""Груз 200"", ""Географ глобус пропил""]","Николай теряет всё: дом, семью и свободу, становясь жертвой коррумпированной системы, в то время как на месте его жилища возводят церковь, символизирующую торжество циничной власти над обычным человеком.","{""rating"": ""отличный"", ""liked"": ""Мощная актерская игра, глубокий философский подтекст, безупречная операторская работа и гнетущая, но завораживающая северная атмосфера фильма."", ""disliked"": ""Некоторым зрителям показался излишне затянутым темп повествования и чрезмерно мрачный, безнадежный взгляд на окружающую действительность.""}",movie,,0,,0,,,
6253,ДИСК 12,R:\фильмы\Nelubov.2017.BDRip.2.18Gb.RUS.avi,,Nelubov.2017.BDRip.2.18Gb.RUS,Nelyubov,Нелюбовь,2017,Расследования,"[""Драма""]",Россия,"[""Андрей Звягинцев""]","[""Марьяна Спивак"", ""Алексей Розин"", ""Матвей Новиков"", ""Марина Васильева"", ""Андрис Кейшс""]",,0.0,[],"{""imdb"": 7.6, ""tmdb"": 7.4}","[""Приз жюри Каннского кинофестиваля"", ""Премия «Сезар» за лучший иностранный фильм"", ""Номинация на премию «Оскар»""]","Семейная пара Жени и Бориса находится в процессе мучительного развода. Оба супруга уже живут новыми жизнями, в которых нет места их двенадцатилетнему сыну Алёше. В пылу очередного скандала родители не замечают, как мальчик становится невольным свидетелем их взаимной ненависти. После того как Алёша бесследно исчезает, родители вынуждены объединить усилия, чтобы найти его. Поиски приводят героев в мир холодного безразличия, где официальные структуры работают медленно, а волонтеры сталкиваются с полным отсутствием эмпатии. По мере продвижения расследования перед зрителем раскрывается леденящая душу правда о том, насколько глубоко укоренилось отсутствие любви в жизни людей, забывших о своей человечности ради эгоизма, материальных благ и бесконечного поиска комфорта в обществе, которое разучилось сострадать собственным детям.","Гнетущая, пронизанная ледяным холодом и чувством безысходности драма, подчеркнутая приглушенными серыми красками современного мегаполиса.","Сильная социальная драма Андрея Звягинцева, которая как зеркало отражает современную реальность, заставляя задуматься о ценностях, семье и последствиях эмоциональной глухоты.",для глубокого философского размышления в тишине и одиночестве,,Я тебя не люблю.,,"[""Фильм вошел в основную конкурсную программу Каннского кинофестиваля и получил Приз жюри."", ""Андрей Звягинцев консультировался с поисково-спасательным отрядом «Лиза Алерт» для максимальной достоверности сцен поиска."", ""На главные роли режиссер принципиально искал актеров, которые никогда ранее не снимались в его фильмах."", ""Сценарий фильма был написан специально под Марьяну Спивак, которую Звягинцев увидел в одном из спектаклей.""]","[""Левиафан"", ""Елена"", ""Возвращение"", ""Аритмия"", ""Дурак""]","История завершается на гнетущей ноте: поиски сына не приносят результата, а родители продолжают существовать в своих новых, столь же холодных и отчужденных жизнях, навсегда утратив связь друг с другом и с миром.","{""rating"": ""отличный"", ""liked"": ""Поражает невероятная актерская игра, пронзительный драматический сюжет и тягучая, гнетущая атмосфера безысходности, свойственная лучшим работам Андрея Звягинцева."", ""disliked"": ""Некоторым зрителям фильм кажется слишком депрессивным, тяжелым для восприятия и оставляющим неприятный осадок после просмотра.""}",movie,,0,,0,,,
6254,ДИСК 12,R:\фильмы\Six Days Seven Nights.1998.HDTVRip.x264.960x.rip by Frost O.S.mp4,,Six Days Seven Nights.1998.HDTVRip.x264.960x.rip by Frost O.S,Six Days Seven Nights,"Шесть дней, семь ночей",1998,Приключения,"[""Комедия"", ""Приключения"", ""Мелодрама""]",США,"[""Айван Райтман""]","[""Харрисон Форд"", ""Энн Хеч"", ""Дэвид Швиммер"", ""Жаклин Обрадорс"", ""Темуэра Моррисон""]",,0.0,[],"{""imdb"": 5.8, ""tmdb"": 6.1}",[],"Амбициозная сотрудница нью-йоркского журнала Робин Монро отправляется на тропический отдых со своим женихом, надеясь на романтическое приключение в раю. Однако рабочие обязательства вынуждают её совершить короткий перелет на другой остров на старом самолете под управлением ворчливого и циничного пилота Куинна Харриса. Неожиданный тропический шторм приводит к аварийной посадке на необитаемом острове, где двое абсолютно разных людей оказываются вынужденными забыть о взаимной неприязни ради выживания. В условиях дикой природы, сталкиваясь с опасными морскими пиратами и сложными природными обстоятельствами, герои постепенно переосмысливают свои жизненные ценности. Романтическая комедия мастерски сочетает элементы приключенческого боевика, подчеркивая, как экстремальная ситуация может сблизить даже самых непримиримых противников, открывая в них скрытые черты характера и заставляя по-новому взглянуть на свои отношения и истинные желания в жизни.","Легкая приключенческая атмосфера с яркими тропическими пейзажами, духом авантюризма и искрометным юмором в духе девяностых.","Фильм является классикой приключенческой комедии с отличной химией между Харрисоном Фордом и Энн Хеч, идеально подходящей для поднятия настроения.","для солнечного выходного дня, когда хочется легкой приключенческой истории с элементами романтики и юмора",,"Мне нравятся опасные парни, которые летают на маленьких самолетах.",,"[""Харрисон Форд самостоятельно выполнял большинство трюков, включая сцены с пилотированием самолета и полеты на тросах в джунглях."", ""Энн Хеч настояла на том, чтобы самостоятельно исполнить опасный трюк, где её героиня свисает со скалы, несмотря на возражения страховой компании."", ""Съемки картины проходили на острове Кауаи, который известен своими труднодоступными и живописными тропическими локациями."", ""Фильм стал одним из последних крупных проектов, где использовались полноразмерные модели самолетов вместо полной компьютерной графики.""]","[""Роман с камнем"", ""Шесть дней, семь ночей"", ""Конг: Остров черепа"", ""Иствикские ведьмы""]","После серии опасных приключений на необитаемом острове и столкновения с пиратами, герои осознают свои настоящие чувства, благополучно возвращаются к цивилизации и делают выбор в пользу друг друга.","{""rating"": ""хороший"", ""liked"": ""Очаровательная химия между Харрисоном Фордом и Энн Хеч, красивые тропические пейзажи и приятный юмор в духе классических приключенческих комедий."", ""disliked"": ""Предсказуемость сюжета и местами слишком шаблонные повороты событий, характерные для приключенческих лент девяностых годов.""}",movie,,0,,0,,,
6255,ДИСК 12,R:\фильмы\V.boy.idut.odni.stariki.1973.BDRip.AVC.mkv,,V.boy.idut.odni.stariki.1973.BDRip.AVC,V boy idut odni 'stariki',В бой идут одни «старики»,1973,Военные,"[""Военный"", ""Драма"", ""Комедия""]",СССР,"[""Леонид Быков""]","[""Леонид Быков"", ""Сергей Подгорный"", ""Сергей Иванов"", ""Рустам Сагдуллаев"", ""Евгения Симонова""]",,0.0,[],"{""imdb"": 8.5, ""tmdb"": 8.4}","[""Диплом за лучшую режиссуру на VII Всесоюзном кинофестивале"", ""Главный приз кинофестиваля в Баку""]","Действие фильма разворачивается во время Великой Отечественной войны, рассказывая о буднях эскадрильи истребителей под командованием капитана Титаренко, которого подчиненные называют Маэстро. Командир убежден, что в перерывах между ожесточенными воздушными боями авиаторам жизненно необходима музыка, поэтому он создает полковой хор, превращая вчерашних мальчишек в настоящих профессионалов. Лента мастерски сплетает драматические моменты фронтовой жизни с лирическими сценами и музыкой, показывая, как молодые летчики быстро взрослеют, сталкиваясь с первыми потерями друзей и горечью расставаний. История концентрируется на судьбах ярких персонажей, таких как Кузнечик, Смуглянка и Ромео, которые даже в условиях смертельной опасности находят силы для любви, дружбы и созидания. Финальные аккорды показывают не только героизм советских воинов, но и глубокий след, который оставляет война в душах людей, навсегда изменив их жизни.","Светлая и щемящая фронтовая лирика, пронизанная искренним патриотизмом, нежной грустью и героическим оптимизмом в самых суровых обстоятельствах.","Картина стала эталоном военного кино, сочетающим пронзительную драматическую глубину с искренним юмором, музыкой и вечными темами человеческого достоинства.","для просмотра в кругу семьи, когда хочется вспомнить о важном и пережить глубокие эмоции",,"Будем жить, Макарыч! Будем жить!",,"[""Леонид Быков сам исполнял многие фигуры высшего пилотажа, так как был профессионально обучен пилотированию в аэроклубе."", ""Прототипом главного героя стал легендарный летчик Виталий Попков, который прошел путь от курсанта до дважды Героя Советского Союза."", ""Знаменитая песня «Смуглянка» стала всенародным хитом именно благодаря фильму, хотя была написана еще в 1940 году."", ""Самолеты «По-2», использованные в съемках, были настоящими музейными экземплярами, которые команде пришлось восстанавливать для полетов.""]","[""А зори здесь тихие"", ""Они сражались за Родину"", ""Небесный тихоход"", ""Баллада о солдате""]","В финале картины капитан Титаренко возвращается на аэродром, где встречает Макарыча у могил погибших товарищей, обещая долететь до Берлина в их честь.","{""rating"": ""отличный"", ""liked"": ""Потрясающая искренность актерской игры, глубокий гуманизм, баланс между фронтовым юмором и трагедией потерь, а также душевное музыкальное сопровождение."", ""disliked"": null}",movie,,0,,0,,,
6256,ДИСК 12,"R:\фильмы\Догони, если сможешь - Catch Me If You Can [by ale_x2008] fix.avi",,"Догони, если сможешь - Catch Me If You Can [by ale_x2008] fix",Catch Me If You Can,"Поймай меня, если сможешь",2002,Аферы,"[""Биографический"", ""Криминал"", ""Драма""]",США,"[""Стивен Спилберг""]","[""Леонардо ДиКаприо"", ""Том Хэнкс"", ""Кристофер Уокен"", ""Мартин Шин"", ""Эми Адамс""]",,0.0,[],"{""imdb"": 8.1, ""tmdb"": 8.1}","[""Номинация на Оскар — лучшая мужская роль второго плана"", ""Номинация на Оскар — лучший саундтрек""]","История Фрэнка Эбегнейла-младшего, чьи родители переживают тяжелый развод, что заставляет подростка сбежать из дома. Оказавшись один в огромном мире, Фрэнк понимает, что деньги — единственный способ вернуть отца к жизни и обрести прежнее счастье. Он начинает мастерски подделывать чеки, выдавая себя то за пилота авиалиний, то за врача или юриста. Фрэнк проворачивает миллионные аферы, ускользая из рук правосудия, пока на его след не выходит дотошный агент ФБР Карл Хэнрэтти. Их противостояние превращается в многолетнюю игру в кошки-мышки, где охотник и преследуемый начинают испытывать странную, почти отеческую симпатию друг к другу. Фильм детально раскрывает жизнь гениального мошенника, который, несмотря на внешнюю роскошь и успех, остается глубоко одиноким юношей, бесконечно ищущим тепла и признания в мире, где все основано на лжи и красивых фасадах.","Захватывающая, динамичная атмосфера 60-х годов с нотами светлой грусти, элегантным джазовым саундтреком и легким налетом ностальгии.","История предлагает редкое сочетание авантюрного детектива и пронзительной семейной драмы, где невероятные преступления служат лишь фоном для искреннего рассказа о человеческом одиночестве.","для интеллектуального отдыха, когда хочется вдохновляющей истории с примесью легкой грусти и захватывающим сюжетом.",,"Два мышонка упали в ведро со сливками. Первый мышонок быстро сдался и утонул. Второй мышонок так активно барахтался, что сбил сливки в масло и выбрался наружу. Господа, я — второй мышонок.",,"[""Стивен Спилберг настоял на том, чтобы Фрэнк Абигнейл-младший лично консультировал Леонардо ДиКаприо по нюансам поведения мошенника."", ""Настоящий Фрэнк Абигнейл появляется в камео в роли французского полицейского, который арестовывает своего киношного двойника."", ""Фильм основан на реальной автобиографии Абигнейла, хотя некоторые детали афер были приукрашены или упрощены для драматического эффекта в сценарии."", ""Том Хэнкс выбрал на роль агента ФБР образ, вдохновленный реальным агентом Джозефом Шей, который вел дело Абигнейла десятилетиями."", ""Музыкальная тема Джона Уильямса была написана до начала основных съемок, что позволило Спилбергу подстраивать темп сцен под джазовые ритмы.""]","[""Афера"", ""Двенадцать друзей Оушена"", ""Волк с Уолл-стрит"", ""Поймай меня, если сможешь (бродвейский мюзикл)"", ""Грязные, подлые, злые""]","Фрэнк Эбегнейл признает поражение, отбывает тюремный срок, а после освобождения начинает работать консультантом в ФБР, помогая ловить других финансовых мошенников.","{""rating"": ""отличный"", ""liked"": ""Поразительная химия между ДиКаприо и Хэнксом, динамичный сюжет, стильное визуальное оформление шестидесятых и блестящая работа композитора Джона Уильямса."", ""disliked"": ""Некоторые зрители отмечают излишнюю романтизацию преступного прошлого главного героя и затянутый хронометраж во второй половине картины.""}",movie,,0,,0,,,
6257,ДИСК 12,R:\фильмы\Живые и мертвые,,"Живые и мертвые (сериал, 2023)",The Living and the Dead,Живые и мертвые,2016,Расследования,"[""Драма"", ""Мистика"", ""Детектив""]",Великобритания,"[""Элис Троутон"", ""Джейми Пэйн""]","[""Колин Морган"", ""Шарлотта Спенсер"", ""Николас Вудсон""]",завершён,1.0,,"{""imdb"": 7.1, ""tmdb"": 6.8, ""кинопоиск"": 7.2}",[],"Действие разворачивается в 1894 году в сельской местности Сомерсета. Молодой и прогрессивный психолог Натан Эпплтон вместе с женой Шарлоттой переезжает в старинное поместье, доставшееся ему в наследство от матери. Натан планирует лечить местных жителей от душевных недугов, используя передовые для того времени методы психиатрии. Однако вскоре после прибытия супруги сталкиваются с пугающими сверхъестественными явлениями. Граница между рациональным миром науки и потусторонними силами начинает стремительно стираться. Эпплтон обнаруживает, что дом и окрестные земли пропитаны трагической историей, а странные видения преследуют не только его, но и окружающих. Героям предстоит разобраться в природе паранормальной активности, параллельно пытаясь сохранить собственный рассудок и брак перед лицом необъяснимых и смертельно опасных событий, которые грозят навсегда изменить их жизнь в этом уединенном поместье.",Гнетущая готическая атмосфера викторианской сельской глубинки с элементами тревожного психологического хоррора и необъяснимой мистики.,"Сериал удачно сочетает в себе викторианскую эстетику, психологическую драму и элементы качественного хоррора, создавая уникальное ощущение тревоги.",для глубокого погружения в меланхоличную и мистическую историю в дождливый вечер,,"В этом доме время течет иначе, и мертвые редко оставляют нас в покое, пока не получат желаемого.",,"[""Сериал пропитан духом настоящей викторианской готики, вдохновленной творчеством классиков литературы ужасов."", ""Съемки проходили в исторических локациях Великобритании, что добавило картинке аутентичности и визуальной глубины."", ""Колин Морган блестяще передал трансформацию рационального ученого в человека, столкнувшегося с непознаваемым.""]","[""Страшные сказки"", ""Джонатан Стрендж и мистер Норрелл"", ""Женщина в черном""]","Сезон завершается на высокой драматической ноте, оставляя зрителя с вопросами о природе реальности и наследии прошлого.","{""rating"": ""хороший"", ""liked"": ""Великолепная работа художников по костюмам, пугающая атмосфера старого дома и отличная актерская игра главных героев"", ""disliked"": ""Некоторым зрителям темп повествования может показаться слишком размеренным, а сюжетные линии иногда выглядят излишне запутанными""}",series,,0,,0,,,
