id,path,title_orig,media_type
5478,S:\фильмы\500 дней лета,(500) Days of Summer,movie
5477,,(500) Days of Summer,movie
5474,,(500) Days of Summer,movie
6270,K:\сериалы\500 дней лета,(500) Days of Summer,series
5475,S:\фильмыŀ дней лета,(500) Days of Summer,movie
6994,P:\сериалы\03 1703,1703,series
766,S:\фильмы\1703.S01.2022.WEB-DL.720p,1703,series
6750,R:\сериалы\Agatha Christie's Poirot\Season 13,Agatha Christie's Poirot,season
6741,R:\сериалы\Agatha Christie's Poirot\Season 12,Agatha Christie's Poirot,season
6732,R:\сериалы\Agatha Christie's Poirot\Season 11,Agatha Christie's Poirot,season
6780,R:\сериалы\Agatha Christie's Poirot\Season 3,Agatha Christie's Poirot,season
6723,R:\сериалы\Agatha Christie's Poirot\Season 10,Agatha Christie's Poirot,season
6355,R:\сериалы\Agatha Christie's Poirot,Agatha Christie's Poirot,series
6827,R:\сериалы\Agatha Christie's Poirot\Season 6,Agatha Christie's Poirot,season
6836,R:\сериалы\Agatha Christie's Poirot\Season 7,Agatha Christie's Poirot,season
6702,R:\сериалы\Agatha Christie's Poirot\Season 1,Agatha Christie's Poirot,season
6761,R:\сериалы\Agatha Christie's Poirot\Season 2,Agatha Christie's Poirot,season
6846,R:\сериалы\Agatha Christie's Poirot\Season 9,Agatha Christie's Poirot,season
6810,R:\сериалы\Agatha Christie's Poirot\Season 5,Agatha Christie's Poirot,season
6803,R:\сериалы\Agatha Christie's Poirot\Season 4,Agatha Christie's Poirot,season
6841,R:\сериалы\Agatha Christie's Poirot\Season 8,Agatha Christie's Poirot,season
6759,R:\сериалы\Agatha Christie's Poirot\Season 13\05 Curtain_ Poirot's Final Case (HD).m4v,Agatha Christie's Poirot: Curtain: Poirot's Final Case,episode
6760,R:\сериалы\Agatha Christie's Poirot\Season 13\05 Curtain_ Poirot's Final Case.m4v,Agatha Christie's Poirot: Curtain: Poirot's Final Case,episode
6756,R:\сериалы\Agatha Christie's Poirot\Season 13\03 Dead Man's Folly.m4v,Agatha Christie's Poirot: Dead Man's Folly,episode
6755,R:\сериалы\Agatha Christie's Poirot\Season 13\03 Dead Man's Folly (HD).m4v,Agatha Christie's Poirot: Dead Man's Folly,episode
6851,R:\сериалы\Agatha Christie's Poirot\Season 9\03 Death On the Nile (HD).m4v,Agatha Christie's Poirot: Death on the Nile,episode
6852,R:\сериалы\Agatha Christie's Poirot\Season 9\03 Death On the Nile.m4v,Agatha Christie's Poirot: Death on the Nile,episode
6835,R:\сериалы\Agatha Christie's Poirot\Season 6\04 Dumb Witness.m4v,Agatha Christie's Poirot: Dumb Witness,episode
6834,R:\сериалы\Agatha Christie's Poirot\Season 6\04 Dumb Witness (HD).m4v,Agatha Christie's Poirot: Dumb Witness,episode
6784,R:\сериалы\Agatha Christie's Poirot\Season 3\02 How Does Your Garden Grow_.m4v,Agatha Christie's Poirot: How Does Your Garden Grow?,episode
6783,R:\сериалы\Agatha Christie's Poirot\Season 3\02 How Does Your Garden Grow_ (HD).m4v,Agatha Christie's Poirot: How Does Your Garden Grow?,episode
6731,R:\сериалы\Agatha Christie's Poirot\Season 10\04 Taken At the Flood.m4v,Agatha Christie's Poirot: Taken at the Flood,episode
6730,R:\сериалы\Agatha Christie's Poirot\Season 10\04 Taken At the Flood (HD).m4v,Agatha Christie's Poirot: Taken at the Flood,episode
6799,R:\сериалы\Agatha Christie's Poirot\Season 3\10 Affair at the Victory Ball (HD).m4v,Agatha Christie's Poirot: The Affair at the Victory Ball,episode
6800,R:\сериалы\Agatha Christie's Poirot\Season 3\10 Affair at the Victory Ball.m4v,Agatha Christie's Poirot: The Affair at the Victory Ball,episode
6753,R:\сериалы\Agatha Christie's Poirot\Season 13\02 The Big Four (HD).m4v,Agatha Christie's Poirot: The Big Four,episode
6754,R:\сериалы\Agatha Christie's Poirot\Season 13\02 The Big Four.m4v,Agatha Christie's Poirot: The Big Four,episode
6817,R:\сериалы\Agatha Christie's Poirot\Season 5\04 The Case of the Missing Will (HD).m4v,Agatha Christie's Poirot: The Case of the Missing Will,episode
6818,R:\сериалы\Agatha Christie's Poirot\Season 5\04 The Case of the Missing Will.m4v,Agatha Christie's Poirot: The Case of the Missing Will,episode
6821,R:\сериалы\Agatha Christie's Poirot\Season 5\06 The Chocolate Box (HD).m4v,Agatha Christie's Poirot: The Chocolate Box,episode
6822,R:\сериалы\Agatha Christie's Poirot\Season 5\06 The Chocolate Box.m4v,Agatha Christie's Poirot: The Chocolate Box,episode
6742,R:\сериалы\Agatha Christie's Poirot\Season 12\01 The Clocks (HD).m4v,Agatha Christie's Poirot: The Clocks,episode
6743,R:\сериалы\Agatha Christie's Poirot\Season 12\01 The Clocks.m4v,Agatha Christie's Poirot: The Clocks,episode
6721,R:\сериалы\Agatha Christie's Poirot\Season 1\10 The Dream (HD).m4v,Agatha Christie's Poirot: The Dream,episode
6722,R:\сериалы\Agatha Christie's Poirot\Season 1\10 The Dream.m4v,Agatha Christie's Poirot: The Dream,episode
6853,R:\сериалы\Agatha Christie's Poirot\Season 9\04 The Hollow (HD).m4v,Agatha Christie's Poirot: The Hollow,episode
6854,R:\сериалы\Agatha Christie's Poirot\Season 9\04 The Hollow.m4v,Agatha Christie's Poirot: The Hollow,episode
6719,R:\сериалы\Agatha Christie's Poirot\Season 1\09 The King of Clubs (HD).m4v,Agatha Christie's Poirot: The King of Clubs,episode
6720,R:\сериалы\Agatha Christie's Poirot\Season 1\09 The King of Clubs.m4v,Agatha Christie's Poirot: The King of Clubs,episode
6757,R:\сериалы\Agatha Christie's Poirot\Season 13\04 The Labour of Hercules (HD).m4v,Agatha Christie's Poirot: The Labours of Hercules,episode
6758,R:\сериалы\Agatha Christie's Poirot\Season 13\04 The Labour of Hercules.m4v,Agatha Christie's Poirot: The Labours of Hercules,episode
6767,R:\сериалы\Agatha Christie's Poirot\Season 2\03 The Lost Mine.m4v,Agatha Christie's Poirot: The Lost Mine,episode
6766,R:\сериалы\Agatha Christie's Poirot\Season 2\03 The Lost Mine (HD).m4v,Agatha Christie's Poirot: The Lost Mine,episode
6786,R:\сериалы\Agatha Christie's Poirot\Season 3\03 Million Dollar Bond.m4v,Agatha Christie's Poirot: The Million Dollar Bond Robbery,episode
6785,R:\сериалы\Agatha Christie's Poirot\Season 3\03 Million Dollar Bond (HD).m4v,Agatha Christie's Poirot: The Million Dollar Bond Robbery,episode
6724,R:\сериалы\Agatha Christie's Poirot\Season 10\01 The Mystery of the Blue Train (HD).m4v,Agatha Christie's Poirot: The Mystery of the Blue Train,episode
6725,R:\сериалы\Agatha Christie's Poirot\Season 10\01 The Mystery of the Blue Train.m4v,Agatha Christie's Poirot: The Mystery of the Blue Train,episode
6798,R:\сериалы\Agatha Christie's Poirot\Season 3\09 Theft of Royal Ruby.m4v,Agatha Christie's Poirot: The Theft of the Royal Ruby,episode
6797,R:\сериалы\Agatha Christie's Poirot\Season 3\09 Theft of Royal Ruby (HD).m4v,Agatha Christie's Poirot: The Theft of the Royal Ruby,episode
6814,R:\сериалы\Agatha Christie's Poirot\Season 5\02 The Underdog.m4v,Agatha Christie's Poirot: The Underdog,episode
6813,R:\сериалы\Agatha Christie's Poirot\Season 5\02 The Underdog (HD).m4v,Agatha Christie's Poirot: The Underdog,episode
