title,disks,paths,candidates_for_deletion
"47. Сердцеедки (Heartbreakers, 2001) 2001","ДИСК 2,ДИСК 2","X:\фильмы\47. Сердцеедки (Heartbreakers, 2001) 2001.avi,X:\фильмы\47. Сердцеедки (Heartbreakers, 2001) 2001.mkv","['X:\\фильмы\\47. Сердцеедки (Heartbreakers', 'X:\\фильмы\\47. Сердцеедки (Heartbreakers']"
"500 дней лета (500) Days of Summer, 2009","ДИСК 1,ДИСК 1,ДИСК 1,ДИСК 1,ДИСК 10","S:\фильмыŀ дней лета,S:\фильмы\500 дней лета,K:\сериалы\500 дней лета","['S:\\фильмыŀ дней лета', 'S:\\фильмы\\500 дней лета']"
Match Point,"ДИСК 1,ДИСК 17","S:\фильмы\Match Point.avi,O:\Фильмы\Match Point.avi",['S:\\фильмы\\Match Point.avi']
Mon.roi.2015.BDRip-ylnian,"ДИСК 1,ДИСК 17","S:\фильмы\Mon.roi.2015.BDRip-ylnian.avi,O:\Фильмы\Mon.roi.2015.BDRip-ylnian.avi",['S:\\фильмы\\Mon.roi.2015.BDRip-ylnian.avi']
Любовь.Морковь.1.46.(Logan1995),"ДИСК 1,ДИСК 10","S:\фильмы\Любовь.Морковь.1.46.(Logan1995).avi,K:\фильмы\Любовь.Морковь.1.46.(Logan1995).avi",['S:\\фильмы\\Любовь.Морковь.1.46.(Logan1995).avi']
Пуаро Агаты Кристи: Дама под вуалью (S02E00),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 2\02 The Veiled Lady (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 2\02 The Veiled Lady.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 2\\02 The Veiled Lady (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 2\\02 The Veiled Lady.m4v""]"
Пуаро Агаты Кристи: Дело на балу «Виктория» (1991),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 3\10 Affair at the Victory Ball (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 3\10 Affair at the Victory Ball.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 3\\10 Affair at the Victory Ball (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 3\\10 Affair at the Victory Ball.m4v""]"
Пуаро Агаты Кристи: Загадочное происшествие в Стайлз (S03E00),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 3\01 The Mysterious Affair at Styles (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 3\01 The Mysterious Affair at Styles.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 3\\01 The Mysterious Affair at Styles (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 3\\01 The Mysterious Affair at Styles.m4v""]"
Пуаро Агаты Кристи: Зло под солнцем (S08E00),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 8\01 Evil Under the Sun (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 8\01 Evil Under the Sun.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 8\\01 Evil Under the Sun (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 8\\01 Evil Under the Sun.m4v""]"
Пуаро Агаты Кристи: Квартира на третьем этаже (The Third Floor Flat),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 1\05 The Third Floor Flat (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 1\05 The Third Floor Flat.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 1\\05 The Third Floor Flat (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 1\\05 The Third Floor Flat.m4v""]"
Пуаро Агаты Кристи: Лощина (The Hollow),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 9\04 The Hollow (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 9\04 The Hollow.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 9\\04 The Hollow (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 9\\04 The Hollow.m4v""]"
Пуаро Агаты Кристи: Миссис Макгинти с жизнью рассталась (S11E00),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 11\01 Mrs McGinty's Dead (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 11\01 Mrs McGinty's Dead.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 11\\01 Mrs McGinty's Dead (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 11\\01 Mrs McGinty's Dead.m4v""]"
Пуаро Агаты Кристи: Невероятная кража (S01E00),"ДИСК 12,ДИСК 12","R:\сериалы\Agatha Christie's Poirot\Season 1\08 The Incredible Theft (HD).m4v,R:\сериалы\Agatha Christie's Poirot\Season 1\08 The Incredible Theft.m4v","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 1\\08 The Incredible Theft (HD).m4v"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 1\\08 The Incredible Theft.m4v""]"
