ID,Original Title,Inferred Title_ru
772,Pianistka_2001_[rutracker.org],COULD_NOT_INFER
773,Polnoch`_v_Parizhe_2011_BDRip_by_Dalemake,COULD_NOT_INFER
948,06. Дом Gucci (2021) 2021,COULD_NOT_INFER
959,17. Джеки Браун (Jackie Brown) 1997,Джеки Браун
961,19. Криминальный талант (1985) 1985,Криминальный талант
962,20. Криминальный талант (1988) 1988,Криминальный талант
965,23. Присяжная (The Juror) (1 сезон) 1996,Присяжная
976,"34. Рокки Бальбоа (Rocky Balboa, 2006) 2006",Рокки Бальбоа
981,"39. Неуязвимый (Unbreakable, 2000) 2000",Неуязвимый
1130,"01. Кунг-фу жеребец (Ride On, 2023) 2023",COULD_NOT_INFER
1131,"02. Операция «Панда» (Panda Plan, 2024) 2024",COULD_NOT_INFER
1132,"03. План побега (Escape Plan, 2013) 2013",План побега
1135,"06. Мумия (The Mummy, 1999) 1999",Мумия
1145,"16. Цветок моей тайны (La Flor de mi secreto, 1995) 1995",Цветок моей тайны
4507,Blagochestivaja_Marta_DVDRip_1.46GB,COULD_NOT_INFER
4510,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S01E00 Schmigadoon!.S01E01.Schmigadoon!.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4511,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S01E00 Schmigadoon!.S01E02.Lovers' Spat.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4512,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S01E00 Schmigadoon!.S01E03.Cross That Bridge.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4513,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S01E00 Schmigadoon!.S01E04.Suddenly.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4514,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S01E00 Schmigadoon!.S01E05.Tribulation.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4515,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S01E00 Schmigadoon!.S01E06.How We Change.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4517,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S02E00 Schmigadoon!.S02E01.Welcome to Schmicago.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4518,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S02E00 Schmigadoon!.S02E02.Doorway to Where.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4519,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S02E00 Schmigadoon!.S02E03.Bells and Whistles.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4520,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S02E00 Schmigadoon!.S02E04.Something Real.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4521,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S02E00 Schmigadoon!.S02E05.Famous as Hell.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4522,39. Шмигадун! (Schmigadoon!) (1–2 сезоны) 2021 S02E00 Schmigadoon!.S02E06.Over and Done.1080p.ATVP.WEB-DL.DDP5.1.H.264-yuckostya.mkv,Шмигадун!
4524,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E01P01.avi,Белый воротничок
4525,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E01P02.avi,Белый воротничок
4526,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E02.avi,Белый воротничок
4527,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E03.avi,Белый воротничок
4528,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E04.avi,Белый воротничок
4529,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E05.avi,Белый воротничок
4530,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E06.avi,Белый воротничок
4531,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E09.avi,Белый воротничок
4532,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E10.avi,Белый воротничок
4533,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E11.avi,Белый воротничок
4534,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E12.avi,Белый воротничок
4535,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E13.avi,Белый воротничок
4536,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S01E00 S01E14.avi,Белый воротничок
4538,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E01.avi,Белый воротничок
4539,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E02.avi,Белый воротничок
4540,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E03.avi,Белый воротничок
4541,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E04.avi,Белый воротничок
4542,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E05.avi,Белый воротничок
4543,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E08.avi,Белый воротничок
4544,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E09.avi,Белый воротничок
4545,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E10.avi,Белый воротничок
4546,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E11.avi,Белый воротничок
4547,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E13.avi,Белый воротничок
4548,44. Белый воротничок (White Collar) (1–6 сезоны) 2009 S02E00 S02E14.avi,Белый воротничок
