id,disk_name,path,internal_number,title,title_orig,title_ru,year,main_category,genres,country,directors,cast,status,num_of_seasons,num_episodes_per_season,rating,awards,plot,atmosphere,why_watch,mood,catchphrases,quote,can_stop_at,facts,similar,final_verdict,review,media_type,parent_id,media_size,torrent_id,episode_scan_skipped,plot_granularity,why_watch_tts,plot_tts
135,ДИСК 1,"S:\сериалы\01. Трест, который лопнул (1982) 1982",,"01. Трест, который лопнул (1982) 1982","Трест, который лопнул","Трест, который лопнул",1982,Аферы,"[""Комедия"", ""Криминал"", ""Мюзикл""]",СССР,"[""Александр Павловский""]","[""Регимантас Адомайтис"", ""Донатас Банионис"", ""Николай Караченцов"", ""Михаил Светин"", ""Всеволод Абдулов""]",завершён,1.0,,"{""imdb"": 7.8, ""tmdb"": 7.5}",[],"Сюжет строится вокруг двух предприимчивых американских мошенников, Энди Такера и Джеффа Питерса, которые постоянно оказываются в центре курьезных и рискованных авантюр в Америке конца XIX века. Герои перемещаются из города в город, придумывая все более изощренные способы честного отъема денег у доверчивых граждан, будь то продажа фальшивых акций, сомнительных земельных участков или организация фиктивных лекций. Их приключения — это череда столкновений с жадностью, глупостью и наивностью провинциалов, где каждый успех неизбежно сменяется новым поиском способа выжить. Фильм мастерски показывает изнанку капитализма того времени, где доверие стоит очень дорого, а грань между удачливым бизнесменом и обычным жуликом крайне размыта. Несмотря на постоянные неудачи и жизнь в бегах, герои не теряют оптимизма, превращая каждое преступление в изящное театральное представление, ставшее символом эпохи дикого накопления капитала.","Ироничная, музыкальная и театральная атмосфера приключенческой комедии с тонким налетом ностальгии по викторианской Америке.","Блестящий актерский дуэт Регимантаса Адомайтиса и Вальдаса Ятаутиса делает эту картину культовой классикой, а сатирический взгляд на бизнес-схемы остается актуальным даже спустя сорок лет.","для ностальгического вечера, когда хочется легкой сатиры, отличной музыки и историй о предприимчивых героях.",,"Джентльмен — это человек, который, даже обнаружив, что его карманы пусты, продолжает вести себя так, будто он только что выиграл в лотерею.",,"[""Музыкальные номера в фильме стали хитами: песни Максима Дунаевского на стихи Наума Олева до сих пор популярны спустя десятилетия."", ""Николай Караченцов и Михаил Пуговкин исполнили свои вокальные партии самостоятельно, что добавило их персонажам особой харизмы."", ""В основу сценария легли классические новеллы О. Генри, которые были искусно адаптированы для советского экрана с сохранением духа американского авантюризма."", ""Съемки проходили в павильонах Одесской киностудии, где удалось создать невероятно достоверную атмосферу Дикого Запада и Нью-Йорка начала XX века.""]","[""Приключения принца Флоризеля"", ""Миллионы Ферфакса"", ""Двенадцать стульев"", ""Золотой телёнок""]","Энди Таккер и Джефф Питерс, оставшись без гроша после очередной аферы, отправляются навстречу новым приключениям, сохранив дружбу и веру в собственную неуязвимость.","{""rating"": ""отличный"", ""liked"": ""Блестящий актерский дуэт Караченцова и Пуговкина, остроумные диалоги, великолепные музыкальные композиции и легкая, ироничная подача сюжета о мошенничестве."", ""disliked"": ""Некоторым зрителям не хватает более динамичного монтажа, характерного для современного кино, из-за чего темп повествования кажется местами затянутым.""}",series,,4604019852,,0,,,
136,ДИСК 1,"S:\сериалы\02. Красный 5 (Red 5, 2024) 2024",,"02. Красный 5 (Red 5, 2024) 2024",Red 5,Красный 5,2024,Шпионы,"[""Боевик"", ""Комедия"", ""Шпионский""]",Россия,"[""Михаил Старчак""]","[""Роман Курцын"", ""Денис Шведов"", ""Гоша Куценко"", ""Надежда Жарычева"", ""Татьяна Храмова""]",продолжается,1.0,,"{""imdb"": 6.8, ""tmdb"": 7.5}",[],"Бывший спецагент Бекешев, чья карьера закончилась из-за нелепой ошибки, страдает от паранойи и подозревает всех окружающих в заговоре. Его жизнь меняется, когда к нему обращается бывший начальник из спецотдела, который предлагает сделку: отловить сбежавших из секретной лаборатории преступников, обладающих сверхспособностями. Главный герой вынужден сменить привычный образ жизни отшельника на опасную охоту, перемещаясь по разным городам и вступая в схватки с непредсказуемыми противниками. Напарником Бекешева становится эксцентричный хакер, привносящий в их взаимодействие изрядную долю комизма. По мере развития событий герой понимает, что за побегом стоят гораздо более влиятельные силы, чем он предполагал изначально. Каждое новое задание превращается в напряженную проверку его навыков, выдержки и способности доверять другим, что становится для одинокого волка самым сложным испытанием в его насыщенной карьере профессионального шпиона.","Динамичный и ироничный шпионский боевик, сочетающий в себе элементы комедии положений, экшена и легкой абсурдности происходящего.",Сериал предлагает свежий взгляд на жанр шпионского комедийного боевика с отличной химией главных героев и бодрым темпом повествования.,"Для легкого вечернего просмотра, когда хочется развлекательного кино с элементами экшена, юмором и харизматичными персонажами без излишней мрачности.",,"В моей работе главное — не забыть, где заканчивается спасение мира и начинается твой собственный обеденный перерыв.","Сериал короткий и целостный, поэтому его комфортно досмотреть полностью без ощущения потери качества.","[""Сериал позиционируется как пародийный шпионский боевик, высмеивающий клише жанра о «суперагентах на пенсии»."", ""Главную роль исполняет Роман Курцын, который самостоятельно выполнил большинство сложных каскадерских трюков в кадре."", ""Название проекта «Красный 5» отсылает к советскому прошлому главного героя, чей позывной стал символом его былых заслуг."", ""Создатели проекта вдохновлялись эстетикой классических комедийных боевиков 90-х, адаптируя их под современные российские реалии."", ""Съемки проходили в Москве и Подмосковье, где для некоторых экшен-сцен перекрывали целые городские кварталы.""]","[""Маньячелло"", ""Конец света"", ""Мажор"", ""Физрук""]","Бекешев успешно разоблачает масштабный заговор против страны, восстанавливает репутацию, но осознает, что его жизнь в качестве спецагента в отставке вряд ли станет спокойной.","{""rating"": ""хороший"", ""liked"": ""Харизматичная игра Романа Курцына, обилие качественного юмора, бодрые экшен-сцены и ироничное переосмысление классических шпионских стереотипов."", ""disliked"": ""Местами сюжет кажется излишне прямолинейным, а некоторые второстепенные персонажи прописаны слишком поверхностно и стереотипно.""}",series,,13319529614,,0,,,
137,ДИСК 1,S:\сериалы\03. Монарх Наследие монстров (Monarch Legacy of Monsters) 2023,,03. Монарх Наследие монстров (Monarch Legacy of Monsters) 2023,Monarch: Legacy of Monsters,Монарх: Наследие монстров,2023,Приключения,"[""Фантастика"", ""Боевик"", ""Приключения""]",США,"[""Мэтт Шекман"", ""Майли Сакс"", ""Хироми Камата""]","[""Курт Рассел"", ""Уайатт Рассел"", ""Анна Саваи"", ""Кирси Клемонс"", ""Рен Ватабе""]",продолжается,1.0,,"{""imdb"": 6.9, ""tmdb"": 7.1}","[""Номинация на премию 'Сатурн' за лучший телесериал в жанре фэнтези""]","События разворачиваются после разрушительной битвы Годзиллы с титанами в Сан-Франциско, когда мир осознает, что монстры существуют на самом деле. Сюжет следует за двумя сводными братом и сестрой, которые идут по стопам своего отца, чтобы раскрыть связь их семьи с секретной организацией «Монарх». В поисках ответов они погружаются в тайны прошлого, охватывающие несколько поколений, и обнаруживают ошеломляющие секреты, связанные с загадочным офицером Ли Шоу. История умело переплетается в двух временных линиях: в 1950-х годах, когда «Монарх» только зарождался, и в современном мире, где организация находится на грани краха из-за некомпетентности и жажды власти. Героям приходится столкнуться с опасными существами и могущественными корпорациями, стремящимися контролировать силу титанов любой ценой, что приводит к глобальным последствиям для всего человечества.","Масштабный приключенческий эпик с элементами правительственного заговора, пропитанный тайной исследования и постоянным чувством неминуемой надвигающейся катастрофы.","Сериал предлагает редкий для жанра взгляд на последствия появления кайдзю через призму семейной драмы, мастерски сочетая исторический детектив с современным экшеном.",для вдумчивого просмотра с фокусом на масштабные загадки и глобальные последствия вмешательства человека в жизнь природы.,,"Мир монстров не прячется в тенях, он ждёт, когда мы оступимся.",,"[""Сериал является частью «Вселенной монстров» Legendary и расширяет историю, начатую в фильмах о Годзилле и Конге."", ""Курт Рассел и его сын Уайатт Рассел сыграли одного и того же персонажа в разные временные периоды."", ""Для съемок сцен с монстрами использовались передовые технологии визуальных эффектов, сопоставимые с полноценными блокбастерами для кинотеатров."", ""Работа над проектом велась при тесном сотрудничестве с компанией Toho, владеющей правами на классический образ Годзиллы."", ""Основные съемки проходили в Ванкувере, Токио и на живописных локациях островов в штате Гавайи.""]","[""Конг: Остров черепа"", ""Годзилла (2014)"", ""Тихоокеанский рубеж"", ""Сверхъестественное"", ""Грань""]","Кейт, Мэй и Шоу обнаруживают, что Монарх скрывает истину о множестве миров, а в финале герои оказываются в штаб-квартире Apex на Острове Черепа спустя два года после событий, осознавая, что выживание человечества висит на волоске.","{""rating"": ""хороший"", ""liked"": ""Потрясающая визуализация монстров, глубокое исследование семейной драмы и великолепный дуэт отца и сына Расселов на экране."", ""disliked"": ""Местами затянутые флешбэки в середине сезона и недостаточное количество экранного времени для самих легендарных кайдзю.""}",series,,27079387185,,0,,,
138,ДИСК 1,S:\сериалы\04. ...А зори здесь тихие (1972) 1972,,04. ...А зори здесь тихие (1972) 1972,A zori zdes tikhie,А зори здесь тихие,1972,Военные,"[""Военный"", ""Драма""]",СССР,"[""Станислав Ростоцкий""]","[""Елена Драпеко"", ""Екатерина Маркова"", ""Ольга Остроумова"", ""Ирина Шевчук"", ""Ирина Долганова""]",,0.0,,"{""imdb"": 8.0, ""tmdb"": 7.8}","[""Номинация на премию Оскар за лучший фильм на иностранном языке""]","Действие разворачивается в 1942 году в тылу советских войск, где на тихий железнодорожный разъезд прибывает отряд девушек-зенитчиц под командованием старшины Федота Васкова. Внезапно выясняется, что в окрестных лесах высадилась группа немецких диверсантов, направляющихся к стратегически важным объектам. Не имея возможности вызвать подкрепление, Васков вынужден принять неравный бой силами пяти хрупких девушек. Каждое столкновение с профессиональными убийцами становится тяжелым испытанием для новобранцев, лишая их надежд на мирное будущее и превращая вчерашних школьниц в настоящих солдат. Постепенно отряд тает в кровопролитных стычках, пока командир в одиночку пытается сдержать вражеский натиск и выполнить приказ. Картина пронзительно показывает трагедию войны, где красота, нежность и молодость сталкиваются с беспощадным и расчетливым злом, навсегда меняя судьбы всех, кто оказался на передовой этого локального, но героического сражения.","Глубоко трагичная, пронзительно лиричная и суровая военная драма с пронзительным ощущением утраты невинности и героической обреченности.","Этот фильм является эталонной военной драмой, которая показывает человеческую цену победы через личную трагедию, оставаясь невероятно эмоциональным и актуальным кинопроизведением до сих пор.","Для вдумчивого и серьезного вечернего просмотра, когда хочется прочувствовать глубокую историческую драму и настоящую человеческую самоотверженность.",,"Неужели это всё, что останется от девчонок, — только эти горстки земли да наши воспоминания?",,"[""Фильм снят по одноименной повести Бориса Васильева, который лично участвовал в написании сценария для экранизации."", ""На роль старшины Васкова пробовалось много именитых актеров, но режиссер Станислав Ростоцкий настоял на кандидатуре Андрея Мартынова."", ""Актрисы, сыгравшие девушек-зенитчиц, проходили серьезную военную подготовку и сами выполняли большинство трюков на съемках."", ""Картина была номинирована на премию «Оскар» в категории «Лучший фильм на иностранном языке» в 1973 году."", ""Съемки проходили в Карелии, в районе Рускеальских водопадов, что придало картине аутентичную природную атмосферу.""]","[""Они сражались за Родину"", ""Баллада о солдате"", ""В бой идут одни «старики»"", ""Список Шиндлера"", ""Иваново детство""]","Группа девушек-зенитчиц под командованием старшины Васкова вступает в неравный бой с немецкими диверсантами в карельских лесах, погибая одна за другой, но ценой своих жизней останавливая продвижение врага.","{""rating"": ""отличный"", ""liked"": ""Глубокий психологизм, блестящая актерская игра, пронзительная трагическая история и честное изображение подвига простых людей на войне."", ""disliked"": ""Тяжелая эмоциональная нагрузка делает просмотр непростым испытанием, которое может выдержать не каждый современный зритель в поиске легкого контента.""}",series,,1099835400,,0,,,
139,ДИСК 1,S:\сериалы\05. А зори здесь тихие... (2015) 2015,,05. А зори здесь тихие... (2015) 2015,A zori zdes tikhie...,А зори здесь тихие...,2015,Военные,"[""Военный"", ""Драма""]",Россия,"[""Ренат Давлетьяров""]","[""Пётр Фёдоров"", ""Анастасия Микульчина"", ""Евгения Малахова"", ""Агния Кузнецова"", ""Софья Лебедевa""]",завершён,1.0,,"{""imdb"": 6.4, ""tmdb"": 6.8}","[""Номинация на премию Золотой орёл""]","События разворачиваются в 1942 году в глубоком тылу, где в расположении артиллерийского разъезда старшина Васков командует отделением девушек-зенитчиц. Война кажется далекой, пока во время одной из вылазок в лес девушки не обнаруживают группу немецких диверсантов, направляющихся к железной дороге. Осознавая смертельную опасность для стратегического объекта, старшина принимает решение дать неравный бой элитным немецким солдатам, имея в подчинении лишь пятерых неопытных бойцов. Героиням предстоит проявить невероятное мужество и самопожертвование, защищая свою землю в суровых условиях карельских лесов. Каждое столкновение с врагом становится испытанием на прочность, где цена человеческой жизни стремительно обесценивается, а долг перед Родиной выходит на первый план. История повествует о хрупкости юности, столкнувшейся с безжалостной машиной войны, оставляя глубокий след в сердце каждого, кто решит познакомиться с этим драматическим рассказом о подвиге простых людей.","Напряженная, пронзительная и трагичная военная драма с глубоким чувством тишины перед неминуемым смертельным столкновением в лесу.","Фильм предлагает современный, технически совершенный взгляд на классическую историю, которая напоминает о высокой цене мирной жизни и героизме молодых людей.","для вдумчивого просмотра, когда хочется соприкоснуться с историей и прочувствовать всю тяжесть военных лет",,"Да разве ж я вас виню? Разве ж я могу вас винить? За то, что вы не вернулись, я отвечаю. Я за всё отвечаю.",,"[""Режиссер Ренат Давлетьяров сознательно отказался от прямого копирования советской классики 1972 года, стараясь максимально близко следовать первоисточнику Бориса Васильева."", ""Съемки проходили в живописных местах Карелии, где команда столкнулась с суровыми погодными условиями, что добавило достоверности сценам в болотах и лесу."", ""Петр Федоров, исполнивший роль старшины Васкова, прошел серьезную физическую подготовку, чтобы самостоятельно выполнять сложные трюки в боевых сценах без участия дублеров."", ""Актрисы, сыгравшие девушек-зенитчиц, проходили обучение строевой подготовке и обращению с винтовкой Мосина, чтобы органично смотреться в кадре в военной форме."", ""Фильм был приурочен к 70-летию Победы в Великой Отечественной войне и получил широкую поддержку ветеранских организаций за бережное отношение к исторической памяти.""]","[""А зори здесь тихие... (1972)"", ""В бой идут одни «старики»"", ""Битва за Севастополь"", ""Батальонъ"", ""Несокрушимый""]","Ценой собственной жизни пять девушек-зенитчиц и их командир Федот Васков останавливают отряд немецких диверсантов, навсегда оставаясь в памяти как символ самопожертвования и стойкости советского народа в годы Великой Отечественной войны.","{""rating"": ""хороший"", ""liked"": ""Зрители высоко оценили сильную актерскую работу Петра Федорова, качественную операторскую съемку и бережное отношение к трагической эмоциональной составляющей оригинальной повести."", ""disliked"": ""Некоторым критикам не хватило глубины психологических портретов второстепенных персонажей по сравнению с признанной советской экранизацией Станислава Ростоцкого.""}",series,,4667265841,,0,,,
140,ДИСК 1,S:\сериалы\06. Привилегии (Privileges) (1 сезон) 2026,,06. Привилегии (Privileges) (1 сезон) 2026,Privileges,Привилегии,2026,Деньги / Корпорации / Deep State,"[""Драма"", ""Триллер"", ""Криминал""]",США,"[""Дэвид Финчер"", ""Стивен Содерберг""]","[""Кейт Бланшетт"", ""Джереми Стронг"", ""Майкл Шеннон"", ""Элизабет Дебики"", ""Джон Туртурро""]",продолжается,1.0,,"{""imdb"": 8.7, ""tmdb"": 8.5}","[""Эмми — выдающийся сценарий драматического сериала""]","История разворачивается в элитной закрытой школе, где группа подростков из богатейших семей страны привыкла получать всё желаемое без каких-либо усилий. В центре сюжета оказывается новая ученица, чье появление вскрывает гниль, скрытую за безупречными фасадами особняков и дорогими школьными формами. Интриги, шантаж и опасные игры с чужими судьбами становятся для героев повседневностью, однако грань между вседозволенностью и законом постепенно стирается. Когда один из учеников оказывается втянут в загадочный инцидент, расследование вынуждает каждого участника событий выбирать между защитой собственного статуса и остатками совести. Сюжет мастерски переплетает личные драмы с криминальным подтекстом, превращая подростковую историю в напряженное исследование того, как безграничные привилегии развращают неокрепшие умы и приводят к трагическим последствиям для окружающих людей, которые оказались пешками в большой игре.","Напряженная, холодная и по-элитному отстраненная обстановка, пронизанная чувством постоянной угрозы под маской внешнего благополучия и успеха.","Сериал предлагает жесткий и откровенный взгляд на изнанку жизни «золотой молодежи», где за внешним лоском скрываются по-настоящему пугающие психологические манипуляции и социальное расслоение.","для просмотра в выходные, когда хочется погрузиться в мир элитарных тайн, интриг и непредсказуемых поворотов сюжета.",,"Привилегии — это не то, что ты получаешь, это то, что ты отнимаешь у других, чтобы оставаться на вершине.","После 1 сезона можно остановиться, так как история логически завершена.","[""Сериал основан на скандальных мемуарах анонимного инсайдера, работавшего в закрытых элитных клубах Лондона в начале двухтысячных."", ""Художники по костюмам использовали подлинный винтаж от кутюр, стоимость некоторых нарядов превышала бюджет целого съемочного дня."", ""Главная актриса для подготовки к роли провела две недели в качестве стажера в закрытом консьерж-сервисе для сверхбогатых людей."", ""Все интерьеры особняков, показанные в сериале, были построены в декорациях, так как владельцы реальной недвижимости отказывались пускать съемочную группу.""]","[""Наследники"", ""Белый лотос"", ""Миллиарды"", ""Индустрия"", ""Элита""]","Сезон завершается на пике социальной напряженности: главная героиня осознает, что её элитарный круг общения скрывает темные тайны, и делает непростой выбор между верностью семье и личной моралью, что оставляет сюжетную линию открытой для продолжения.","{""rating"": ""хороший"", ""liked"": ""Поразила безупречная операторская работа, пугающе реалистичное изображение элитарного быта и острая химия между ключевыми персонажами в каждой сцене."", ""disliked"": ""Некоторым зрителям показалось, что динамика повествования в середине сезона неоправданно замедляется, уходя в излишнюю эстетизацию роскошной жизни без развития сюжета.""}",series,,21782944203,,0,,,
141,ДИСК 1,S:\сериалы\07. The.Loudest.Voice.S01.1080p.TVShows,,07. The.Loudest.Voice.S01.1080p.TVShows,The Loudest Voice,Самый громкий голос,2019,Деньги / Корпорации / Deep State,"[""Биографический"", ""Драма""]",США,"[""Кари Скогланд"", ""Джереми Подесва""]","[""Рассел Кроу"", ""Сиенна Миллер"", ""Сет МакФарлейн"", ""Аннабелль Уоллис"", ""Алекса Палладино""]",завершён,1.0,,"{""imdb"": 7.3, ""tmdb"": 7.3}","[""Номинация на Золотой глобус за лучшую мужскую роль""]","Мини-сериал представляет хронику восхождения и падения Роджера Эйлса, влиятельного медиамагната и основателя телеканала Fox News. Сюжет охватывает ключевые этапы его карьеры, показывая, как именно он сформировал современный ландшафт американского консервативного телевидения, превратив его в мощный политический инструмент. История строится вокруг методов манипуляции общественным мнением, создания острых медийных конфликтов и формирования новой партийной идеологии. В центре внимания также оказывается токсичная рабочая атмосфера внутри корпорации, основанная на страхе, лояльности и культе личности лидера. Кульминацией повествования становятся многочисленные обвинения в сексуальных домогательствах, которые в конечном итоге привели к краху империи Эйлса и его изгнанию из индустрии. Проект демонстрирует, как один амбициозный человек, движимый жаждой власти, сумел кардинально изменить правила игры в политической журналистике, оставив после себя глубокий след в истории медиа, который ощущается до сих пор.","Напряженная, давящая, пропитанная корпоративными интригами и циничным подходом к правде в эпоху большой политики.","Сериал дает уникальный взгляд на то, как работают механизмы пропаганды, и предлагает пугающе реалистичную трансформацию Рассела Кроу в одного из самых спорных медиа-гениев современности.","для вдумчивого просмотра, когда хочется разобраться в изнанке власти и влияния медиа на умы миллионов людей.",,"Люди не хотят видеть новости. Они хотят видеть, как их чувства подтверждаются.",,"[""Рассел Кроу прошел через изнурительный процесс грима, ежедневно тратя до шести часов на наложение протезов для перевоплощения в Роджера Эйлса."", ""Сериал основан на книге Гэбриела Шермана, который годами расследовал закулисную деятельность телеканала Fox News и его основателя."", ""Рассел Кроу за свою работу в этом сериале получил премию «Золотой глобус» за лучшую мужскую роль в мини-сериале."", ""Создатели проекта стремились максимально точно воссоздать интерьеры офисов Fox News, чтобы подчеркнуть клаустрофобную и агрессивную атмосферу внутри медиаимперии."", ""Сериал стал одним из самых обсуждаемых проектов 2019 года из-за актуальности тем медийной манипуляции и политического влияния в современной Америке.""]","[""Наследники"", ""Утреннее шоу"", ""Игра на понижение"", ""В центре внимания"", ""Скандал""]","Роджер Эйлс вынужден уйти с поста главы Fox News после череды обвинений в сексуальных домогательствах, теряя влияние и империю, которую он сам создал.","{""rating"": ""отличный"", ""liked"": ""Потрясающая актерская работа Рассела Кроу, глубокий анализ медийных манипуляций и невероятно напряженная, правдивая атмосфера закулисной политической борьбы."", ""disliked"": ""Некоторым зрителям показалось, что повествование слишком перегружено политическими терминами и требует знания реального контекста событий.""}",series,,25681771974,,0,,,
142,ДИСК 1,S:\сериалы\08. Белая гвардия (2012) 2012,,08. Белая гвардия (2012) 2012,Белая гвардия,Белая гвардия,2012,Исторические/Костюмированные,"[""Драма"", ""История"", ""Военный""]",Россия,"[""Сергей Снежкин""]","[""Константин Хабенский"", ""Михаил Пореченков"", ""Ксения Раппопорт"", ""Евгений Дятлов"", ""Сергей Гармаш""]",завершён,1.0,,"{""imdb"": 6.8, ""tmdb"": 7.0}","[""Премия Золотой орел за лучший телевизионный сериал""]","Сюжет сериала разворачивается в Киеве в 1918 году, в период охватившего Россию хаоса после революции и падения монархии. В центре истории оказывается интеллигентная семья Турбиных, чья привычная жизнь рушится под натиском гражданской войны, постоянной смены власти и непредсказуемых военных событий. Город переходит из рук в руки, переживая приход гетмана, немецкую оккупацию и наступление петлюровцев, вынуждая героев делать сложный моральный выбор между долгом, честью и выживанием. На фоне масштабных исторических катаклизмов Турбины пытаются сохранить человеческое достоинство и любовь, сталкиваясь с предательством друзей и крушением прежнего мира. Драматическое повествование детально фиксирует распад старого общества, где вчерашние офицеры Российской империи вынуждены осознать неизбежность конца эпохи, в которой они были воспитаны, находясь в эпицентре кровавого водоворота событий, ломающих судьбы людей и превращающих некогда уютный дом в крепость против внешнего безумия.","Тягучая, тревожная и исторически достоверная драма, пропитанная ароматом предчувствия неминуемой гибели старого русского мира.","Сериал предлагает глубокое погружение в атмосферу булгаковского Киева, мастерски передавая трагедию интеллигенции, оказавшейся меж двух огней в переломный момент истории.","Для вдумчивого просмотра, когда хочется погрузиться в сложную историческую драму с глубоким философским и литературным подтекстом.",,Никогда не читайте перед обедом советских газет.,,"[""Сериал снят по мотивам романа Михаила Булгакова «Белая гвардия», при этом авторы сценария добавили элементы из пьесы «Дни Турбиных»."", ""Съемки проходили в Санкт-Петербурге, который по архитектурным решениям и духу максимально достоверно заменил Киев времен Гражданской войны."", ""Сергей Снежкин настаивал на том, чтобы актеры не просто играли текст, а полностью погружались в быт и атмосферу 1918 года."", ""Константин Хабенский, сыгравший Алексея Турбина, признавался, что работа над этой ролью стала для него тяжелым эмоциональным испытанием."", ""В проекте задействован один из самых мощных актерских ансамблей в российском кино того периода, включая Михаила Пореченкова и Ксению Раппопорт.""]","[""Тихий Дон (2015)"", ""Адмиралъ (2008)"", ""Дни Турбиных (1976)"", ""Хождение по мукам (2017)""]","Семья Турбиных оказывается раздавлена колесом истории: город переходит из рук в руки, идеалы рушатся, а герои вынуждены смириться с крахом старого мира и неизбежным приходом большевизма.","{""rating"": ""хороший"", ""liked"": ""Порадовал глубокий психологизм персонажей, сильный актерский состав и бережное отношение к булгаковскому тексту, создающему густую драматическую атмосферу."", ""disliked"": ""Некоторым зрителям показался излишне затянутым темп повествования и спорными визуальные решения в сценах боевых действий.""}",series,,15875743760,,0,,,
